product_id,title,category,brand,price,rating,popularity_score,is_head_product
P00102,FreshNest Home Item 102,home,FreshNest,31.51,4.1,9291,True
P00208,FreshNest Beauty Item 208,beauty,FreshNest,46.77,3.1,6561,True
P00346,Apex Electronics Item 346,electronics,Apex,140.91,4.1,6278,True
P00452,UrbanCo Books Item 452,books,UrbanCo,34.23,3.4,5901,True
P00563,Zenith Home Item 563,home,Zenith,101.56,3.1,5864,True
P00908,BrightLife Grocery Item 908,grocery,BrightLife,25.1,4.1,5760,True
P00121,FreshNest Books Item 121,books,FreshNest,24.39,3.7,5693,True
P00853,Nova Electronics Item 853,electronics,Nova,180.27,4.0,5524,True
P00840,Nova Grocery Item 840,grocery,Nova,10.94,4.0,5417,True
P00043,Zenith Grocery Item 43,grocery,Zenith,15.75,4.9,5386,True
P00756,Nova Fashion Item 756,fashion,Nova,72.31,4.9,5169,True
P00936,Zenith Sports Item 936,sports,Zenith,91.01,4.2,4866,True
P00485,UrbanCo Home Item 485,home,UrbanCo,50.9,4.1,4698,True
P00456,CoreLine Fashion Item 456,fashion,CoreLine,68.66,3.1,4677,True
P00416,FreshNest Fashion Item 416,fashion,FreshNest,33.27,4.8,4638,True
P00287,BrightLife Electronics Item 287,electronics,BrightLife,205.61,4.0,4521,True
P00176,Apex Beauty Item 176,beauty,Apex,20.86,4.9,4394,True
P00396,BrightLife Books Item 396,books,BrightLife,16.16,4.8,4247,True
P00829,BrightLife Grocery Item 829,grocery,BrightLife,19.6,4.0,4224,True
P00082,DailyPro Sports Item 82,sports,DailyPro,51.87,3.1,4131,True
P00160,FreshNest Toys Item 160,toys,FreshNest,51.38,4.7,3951,True
P00389,DailyPro Fashion Item 389,fashion,DailyPro,71.34,4.5,3839,True
P00678,Zenith Home Item 678,home,Zenith,80.26,3.9,3784,True
P00585,UrbanCo Toys Item 585,toys,UrbanCo,28.13,3.6,3723,True
P00290,FreshNest Toys Item 290,toys,FreshNest,49.89,3.8,3639,True
P00007,Nova Beauty Item 7,beauty,Nova,50.7,4.1,3616,True
P00870,Nova Fashion Item 870,fashion,Nova,79.23,3.0,3587,True
P00341,FreshNest Electronics Item 341,electronics,FreshNest,101.42,4.3,3577,True
P00949,CoreLine Sports Item 949,sports,CoreLine,60.94,3.3,3524,True
P00070,BrightLife Toys Item 70,toys,BrightLife,51.63,3.2,3520,True
P00579,DailyPro Fashion Item 579,fashion,DailyPro,71.45,4.6,3519,True
P00586,FreshNest Toys Item 586,toys,FreshNest,40.32,3.3,3465,True
P00401,FreshNest Fashion Item 401,fashion,FreshNest,76.01,4.1,3435,True
P00304,FreshNest Fashion Item 304,fashion,FreshNest,80.84,4.6,3428,True
P00640,UrbanCo Toys Item 640,toys,UrbanCo,15.29,5.0,3395,True
P00751,Apex Beauty Item 751,beauty,Apex,31.06,4.8,3362,True
P00163,FreshNest Fashion Item 163,fashion,FreshNest,78.94,3.3,3362,True
P00358,UrbanCo Grocery Item 358,grocery,UrbanCo,20.78,3.3,3338,True
P00430,Apex Electronics Item 430,electronics,Apex,204.89,3.6,3256,True
P00977,CoreLine Electronics Item 977,electronics,CoreLine,108.06,4.5,3243,True
P00134,Zenith Toys Item 134,toys,Zenith,37.18,3.1,3221,True
P00005,CoreLine Fashion Item 5,fashion,CoreLine,42.4,3.3,3151,True
P00724,Nova Beauty Item 724,beauty,Nova,59.66,3.8,3139,True
P00740,UrbanCo Books Item 740,books,UrbanCo,34.65,3.3,3129,True
P00024,Apex Sports Item 24,sports,Apex,73.96,3.3,3068,True
P00280,UrbanCo Fashion Item 280,fashion,UrbanCo,53.12,3.7,3066,True
P00531,Apex Electronics Item 531,electronics,Apex,169.43,3.3,3057,True
P00123,DailyPro Home Item 123,home,DailyPro,54.61,4.5,3013,True
P00735,BrightLife Sports Item 735,sports,BrightLife,69.78,3.6,3001,True
P00771,Apex Fashion Item 771,fashion,Apex,48.6,3.4,2970,True
P00397,CoreLine Sports Item 397,sports,CoreLine,66.8,3.1,2966,True
P00295,CoreLine Books Item 295,books,CoreLine,17.14,5.0,2954,True
P00258,Zenith Books Item 258,books,Zenith,14.69,3.4,2950,True
P00026,DailyPro Beauty Item 26,beauty,DailyPro,20.14,4.8,2936,True
P00194,BrightLife Grocery Item 194,grocery,BrightLife,20.57,4.5,2918,True
P00807,Zenith Toys Item 807,toys,Zenith,42.75,4.2,2913,True
P00445,FreshNest Beauty Item 445,beauty,FreshNest,53.11,3.7,2886,True
P00717,BrightLife Home Item 717,home,BrightLife,73.86,4.2,2858,True
P00584,BrightLife Home Item 584,home,BrightLife,104.92,3.7,2845,True
P00316,UrbanCo Beauty Item 316,beauty,UrbanCo,40.37,3.3,2840,True
P00129,BrightLife Grocery Item 129,grocery,BrightLife,11.1,3.1,2831,True
P00964,CoreLine Electronics Item 964,electronics,CoreLine,172.35,3.8,2799,True
P00879,Apex Books Item 879,books,Apex,26.36,3.1,2771,True
P00361,DailyPro Home Item 361,home,DailyPro,71.74,4.4,2759,True
P00050,Zenith Fashion Item 50,fashion,Zenith,49.25,4.9,2744,True
P00708,Nova Grocery Item 708,grocery,Nova,17.84,3.1,2738,True
P00313,Apex Home Item 313,home,Apex,53.72,3.3,2729,True
P00351,BrightLife Grocery Item 351,grocery,BrightLife,16.86,4.1,2725,True
P00355,DailyPro Grocery Item 355,grocery,DailyPro,11.44,4.1,2703,True
P00054,Nova Beauty Item 54,beauty,Nova,47.89,4.1,2684,True
P00854,Zenith Home Item 854,home,Zenith,78.21,3.2,2682,True
P00272,UrbanCo Toys Item 272,toys,UrbanCo,29.62,3.1,2671,True
P00824,Zenith Sports Item 824,sports,Zenith,55.32,4.5,2662,True
P00920,DailyPro Home Item 920,home,DailyPro,88.32,4.7,2640,True
P00552,DailyPro Fashion Item 552,fashion,DailyPro,39.56,4.7,2604,True
P00429,Zenith Grocery Item 429,grocery,Zenith,8.41,3.1,2598,True
P00931,FreshNest Books Item 931,books,FreshNest,26.2,3.9,2579,True
P00788,Zenith Fashion Item 788,fashion,Zenith,32.31,4.4,2555,True
P01000,Apex Electronics Item 1000,electronics,Apex,90.27,4.7,2554,True
P00549,Apex Electronics Item 549,electronics,Apex,171.02,3.2,2541,True
P00526,Zenith Fashion Item 526,fashion,Zenith,27.39,3.2,2537,True
P00074,BrightLife Sports Item 74,sports,BrightLife,79.55,4.9,2535,True
P00537,DailyPro Electronics Item 537,electronics,DailyPro,67.17,3.7,2528,True
P00362,CoreLine Fashion Item 362,fashion,CoreLine,74.11,3.4,2521,True
P00968,FreshNest Beauty Item 968,beauty,FreshNest,25.08,3.6,2513,True
P00581,Nova Sports Item 581,sports,Nova,88.83,3.0,2499,True
P00583,Nova Books Item 583,books,Nova,10.57,4.2,2491,True
P00737,Nova Sports Item 737,sports,Nova,104.05,3.6,2476,True
P00015,DailyPro Books Item 15,books,DailyPro,27.04,3.8,2459,True
P00347,CoreLine Grocery Item 347,grocery,CoreLine,13.62,3.3,2431,True
P00675,Zenith Toys Item 675,toys,Zenith,21.25,4.1,2411,True
P00209,CoreLine Toys Item 209,toys,CoreLine,41.76,4.0,2404,True
P00360,Zenith Sports Item 360,sports,Zenith,68.81,4.3,2385,True
P00665,BrightLife Grocery Item 665,grocery,BrightLife,22.13,3.3,2374,True
P00098,Apex Grocery Item 98,grocery,Apex,26.62,4.1,2374,True
P00654,BrightLife Sports Item 654,sports,BrightLife,77.4,4.1,2371,True
P00264,Zenith Sports Item 264,sports,Zenith,131.65,4.6,2343,True
P00060,UrbanCo Electronics Item 60,electronics,UrbanCo,71.74,4.8,2342,True
P00611,DailyPro Grocery Item 611,grocery,DailyPro,16.79,3.2,2330,True
P00791,UrbanCo Electronics Item 791,electronics,UrbanCo,74.54,4.3,2322,True
P00790,Apex Toys Item 790,toys,Apex,38.61,3.4,2318,True
P00643,DailyPro Beauty Item 643,beauty,DailyPro,24.32,4.5,2299,True
P00598,Apex Toys Item 598,toys,Apex,43.55,4.1,2284,True
P00519,CoreLine Sports Item 519,sports,CoreLine,66.32,3.1,2281,True
P00088,CoreLine Grocery Item 88,grocery,CoreLine,23.7,4.1,2275,True
P00368,DailyPro Beauty Item 368,beauty,DailyPro,25.49,4.7,2273,True
P00573,Nova Fashion Item 573,fashion,Nova,41.15,3.4,2261,True
P00458,Nova Toys Item 458,toys,Nova,45.84,3.7,2258,True
P00535,BrightLife Fashion Item 535,fashion,BrightLife,31.7,4.5,2246,True
P00660,DailyPro Electronics Item 660,electronics,DailyPro,173.98,4.9,2225,True
P00600,CoreLine Electronics Item 600,electronics,CoreLine,207.02,3.3,2205,True
P00142,FreshNest Beauty Item 142,beauty,FreshNest,37.42,4.2,2202,True
P00849,Zenith Beauty Item 849,beauty,Zenith,45.05,3.8,2186,True
P00591,BrightLife Sports Item 591,sports,BrightLife,133.28,3.3,2165,True
P00594,FreshNest Toys Item 594,toys,FreshNest,43.57,4.9,2158,True
