product_id,title,category,brand,price,rating,popularity_score,is_head_product
P00102,FreshNest Home Item 102,home,FreshNest,31.51,4.1,9291,TRUE
P00208,FreshNest Beauty Item 208,beauty,FreshNest,46.77,3.1,6561,TRUE
P00346,Apex Electronics Item 346,electronics,Apex,140.91,4.1,6278,TRUE
P00452,UrbanCo Books Item 452,books,UrbanCo,34.23,3.4,5901,TRUE
P00563,Zenith Home Item 563,home,Zenith,101.56,3.1,5864,TRUE
P00908,BrightLife Grocery Item 908,grocery,BrightLife,25.1,4.1,5760,TRUE
P00121,FreshNest Books Item 121,books,FreshNest,24.39,3.7,5693,TRUE
P00853,Nova Electronics Item 853,electronics,Nova,180.27,4,5524,TRUE
P00840,Nova Grocery Item 840,grocery,Nova,10.94,4,5417,TRUE
P00043,Zenith Grocery Item 43,grocery,Zenith,15.75,4.9,5386,TRUE
P00756,Nova Fashion Item 756,fashion,Nova,72.31,4.9,5169,TRUE
P00936,Zenith Sports Item 936,sports,Zenith,91.01,4.2,4866,TRUE
P00485,UrbanCo Home Item 485,home,UrbanCo,50.9,4.1,4698,TRUE
P00456,CoreLine Fashion Item 456,fashion,CoreLine,68.66,3.1,4677,TRUE
P00416,FreshNest Fashion Item 416,fashion,FreshNest,33.27,4.8,4638,TRUE
P00287,BrightLife Electronics Item 287,electronics,BrightLife,205.61,4,4521,TRUE
P00176,Apex Beauty Item 176,beauty,Apex,20.86,4.9,4394,TRUE
P00396,BrightLife Books Item 396,books,BrightLife,16.16,4.8,4247,TRUE
P00829,BrightLife Grocery Item 829,grocery,BrightLife,19.6,4,4224,TRUE
P00082,DailyPro Sports Item 82,sports,DailyPro,51.87,3.1,4131,TRUE
P00160,FreshNest Toys Item 160,toys,FreshNest,51.38,4.7,3951,TRUE
P00389,DailyPro Fashion Item 389,fashion,DailyPro,71.34,4.5,3839,TRUE
P00678,Zenith Home Item 678,home,Zenith,80.26,3.9,3784,TRUE
P00585,UrbanCo Toys Item 585,toys,UrbanCo,28.13,3.6,3723,TRUE
P00290,FreshNest Toys Item 290,toys,FreshNest,49.89,3.8,3639,TRUE
P00007,Nova Beauty Item 7,beauty,Nova,50.7,4.1,3616,TRUE
P00870,Nova Fashion Item 870,fashion,Nova,79.23,3,3587,TRUE
P00341,FreshNest Electronics Item 341,electronics,FreshNest,101.42,4.3,3577,TRUE
P00949,CoreLine Sports Item 949,sports,CoreLine,60.94,3.3,3524,TRUE
P00070,BrightLife Toys Item 70,toys,BrightLife,51.63,3.2,3520,TRUE
P00579,DailyPro Fashion Item 579,fashion,DailyPro,71.45,4.6,3519,TRUE
P00586,FreshNest Toys Item 586,toys,FreshNest,40.32,3.3,3465,TRUE
P00401,FreshNest Fashion Item 401,fashion,FreshNest,76.01,4.1,3435,TRUE
P00304,FreshNest Fashion Item 304,fashion,FreshNest,80.84,4.6,3428,TRUE
P00640,UrbanCo Toys Item 640,toys,UrbanCo,15.29,5,3395,TRUE
P00751,Apex Beauty Item 751,beauty,Apex,31.06,4.8,3362,TRUE
P00163,FreshNest Fashion Item 163,fashion,FreshNest,78.94,3.3,3362,TRUE
P00358,UrbanCo Grocery Item 358,grocery,UrbanCo,20.78,3.3,3338,TRUE
P00430,Apex Electronics Item 430,electronics,Apex,204.89,3.6,3256,TRUE
P00977,CoreLine Electronics Item 977,electronics,CoreLine,108.06,4.5,3243,TRUE
P00134,Zenith Toys Item 134,toys,Zenith,37.18,3.1,3221,TRUE
P00005,CoreLine Fashion Item 5,fashion,CoreLine,42.4,3.3,3151,TRUE
P00724,Nova Beauty Item 724,beauty,Nova,59.66,3.8,3139,TRUE
P00740,UrbanCo Books Item 740,books,UrbanCo,34.65,3.3,3129,TRUE
P00024,Apex Sports Item 24,sports,Apex,73.96,3.3,3068,TRUE
P00280,UrbanCo Fashion Item 280,fashion,UrbanCo,53.12,3.7,3066,TRUE
P00531,Apex Electronics Item 531,electronics,Apex,169.43,3.3,3057,TRUE
P00123,DailyPro Home Item 123,home,DailyPro,54.61,4.5,3013,TRUE
P00735,BrightLife Sports Item 735,sports,BrightLife,69.78,3.6,3001,TRUE
P00771,Apex Fashion Item 771,fashion,Apex,48.6,3.4,2970,TRUE
P00397,CoreLine Sports Item 397,sports,CoreLine,66.8,3.1,2966,TRUE
P00295,CoreLine Books Item 295,books,CoreLine,17.14,5,2954,TRUE
P00258,Zenith Books Item 258,books,Zenith,14.69,3.4,2950,TRUE
P00026,DailyPro Beauty Item 26,beauty,DailyPro,20.14,4.8,2936,TRUE
P00194,BrightLife Grocery Item 194,grocery,BrightLife,20.57,4.5,2918,TRUE
P00807,Zenith Toys Item 807,toys,Zenith,42.75,4.2,2913,TRUE
P00445,FreshNest Beauty Item 445,beauty,FreshNest,53.11,3.7,2886,TRUE
P00717,BrightLife Home Item 717,home,BrightLife,73.86,4.2,2858,TRUE
P00584,BrightLife Home Item 584,home,BrightLife,104.92,3.7,2845,TRUE
P00316,UrbanCo Beauty Item 316,beauty,UrbanCo,40.37,3.3,2840,TRUE
P00129,BrightLife Grocery Item 129,grocery,BrightLife,11.1,3.1,2831,TRUE
P00964,CoreLine Electronics Item 964,electronics,CoreLine,172.35,3.8,2799,TRUE
P00879,Apex Books Item 879,books,Apex,26.36,3.1,2771,TRUE
P00361,DailyPro Home Item 361,home,DailyPro,71.74,4.4,2759,TRUE
P00050,Zenith Fashion Item 50,fashion,Zenith,49.25,4.9,2744,TRUE
P00708,Nova Grocery Item 708,grocery,Nova,17.84,3.1,2738,TRUE
P00313,Apex Home Item 313,home,Apex,53.72,3.3,2729,TRUE
P00351,BrightLife Grocery Item 351,grocery,BrightLife,16.86,4.1,2725,TRUE
P00355,DailyPro Grocery Item 355,grocery,DailyPro,11.44,4.1,2703,TRUE
P00054,Nova Beauty Item 54,beauty,Nova,47.89,4.1,2684,TRUE
P00854,Zenith Home Item 854,home,Zenith,78.21,3.2,2682,TRUE
P00272,UrbanCo Toys Item 272,toys,UrbanCo,29.62,3.1,2671,TRUE
P00824,Zenith Sports Item 824,sports,Zenith,55.32,4.5,2662,TRUE
P00920,DailyPro Home Item 920,home,DailyPro,88.32,4.7,2640,TRUE
P00552,DailyPro Fashion Item 552,fashion,DailyPro,39.56,4.7,2604,TRUE
P00429,Zenith Grocery Item 429,grocery,Zenith,8.41,3.1,2598,TRUE
P00931,FreshNest Books Item 931,books,FreshNest,26.2,3.9,2579,TRUE
P00788,Zenith Fashion Item 788,fashion,Zenith,32.31,4.4,2555,TRUE
P01000,Apex Electronics Item 1000,electronics,Apex,90.27,4.7,2554,TRUE
P00549,Apex Electronics Item 549,electronics,Apex,171.02,3.2,2541,TRUE
P00526,Zenith Fashion Item 526,fashion,Zenith,27.39,3.2,2537,TRUE
P00074,BrightLife Sports Item 74,sports,BrightLife,79.55,4.9,2535,TRUE
P00537,DailyPro Electronics Item 537,electronics,DailyPro,67.17,3.7,2528,TRUE
P00362,CoreLine Fashion Item 362,fashion,CoreLine,74.11,3.4,2521,TRUE
P00968,FreshNest Beauty Item 968,beauty,FreshNest,25.08,3.6,2513,TRUE
P00581,Nova Sports Item 581,sports,Nova,88.83,3,2499,TRUE
P00583,Nova Books Item 583,books,Nova,10.57,4.2,2491,TRUE
P00737,Nova Sports Item 737,sports,Nova,104.05,3.6,2476,TRUE
P00015,DailyPro Books Item 15,books,DailyPro,27.04,3.8,2459,TRUE
P00347,CoreLine Grocery Item 347,grocery,CoreLine,13.62,3.3,2431,TRUE
P00675,Zenith Toys Item 675,toys,Zenith,21.25,4.1,2411,TRUE
P00209,CoreLine Toys Item 209,toys,CoreLine,41.76,4,2404,TRUE
P00360,Zenith Sports Item 360,sports,Zenith,68.81,4.3,2385,TRUE
P00665,BrightLife Grocery Item 665,grocery,BrightLife,22.13,3.3,2374,TRUE
P00098,Apex Grocery Item 98,grocery,Apex,26.62,4.1,2374,TRUE
P00654,BrightLife Sports Item 654,sports,BrightLife,77.4,4.1,2371,TRUE
P00264,Zenith Sports Item 264,sports,Zenith,131.65,4.6,2343,TRUE
P00060,UrbanCo Electronics Item 60,electronics,UrbanCo,71.74,4.8,2342,TRUE
P00611,DailyPro Grocery Item 611,grocery,DailyPro,16.79,3.2,2330,TRUE
P00791,UrbanCo Electronics Item 791,electronics,UrbanCo,74.54,4.3,2322,TRUE
P00790,Apex Toys Item 790,toys,Apex,38.61,3.4,2318,TRUE
P00643,DailyPro Beauty Item 643,beauty,DailyPro,24.32,4.5,2299,TRUE
P00598,Apex Toys Item 598,toys,Apex,43.55,4.1,2284,TRUE
P00519,CoreLine Sports Item 519,sports,CoreLine,66.32,3.1,2281,TRUE
P00088,CoreLine Grocery Item 88,grocery,CoreLine,23.7,4.1,2275,TRUE
P00368,DailyPro Beauty Item 368,beauty,DailyPro,25.49,4.7,2273,TRUE
P00573,Nova Fashion Item 573,fashion,Nova,41.15,3.4,2261,TRUE
